seed,rd1_x,rd1_y,rd2_x,rd2_y,rd3_x,rd3_y,rd4_x,rd4_y,rd5_x,rd5_y,rd6_x,rd6_y
X01,0,8.1,1.05,7.6,2.05,6.6,3.05,4.6,4.05,8.2,4.25,15.4
X02,0,1.1,1.05,1.2,2.05,2.2,3.05,4.2,4.05,8.2,4.25,15.4
X03,0,3.1,1.05,3.2,2.05,2.6,3.05,4.2,4.05,8.2,4.25,15.4
X04,0,5.1,1.05,5.2,2.05,6.2,3.05,4.6,4.05,8.2,4.25,15.4
X05,0,6.1,1.05,5.6,2.05,6.2,3.05,4.6,4.05,8.2,4.25,15.4
X06,0,4.1,1.05,3.6,2.05,2.6,3.05,4.2,4.05,8.2,4.25,15.4
X07,0,2.1,1.05,1.6,2.05,2.2,3.05,4.2,4.05,8.2,4.25,15.4
X08,0,7.1,1.05,7.2,2.05,6.6,3.05,4.6,4.05,8.2,4.25,15.4
X09,0,6.7,1.05,7.2,2.05,6.6,3.05,4.6,4.05,8.2,4.25,15.4
X10,0,1.7,1.05,1.6,2.05,2.2,3.05,4.2,4.05,8.2,4.25,15.4
X11,0,3.7,1.05,3.6,2.05,2.6,3.05,4.2,4.05,8.2,4.25,15.4
X12,0,5.7,1.05,5.6,2.05,6.2,3.05,4.6,4.05,8.2,4.25,15.4
X13,0,4.7,1.05,5.2,2.05,6.2,3.05,4.6,4.05,8.2,4.25,15.4
X14,0,2.7,1.05,3.2,2.05,2.6,3.05,4.2,4.05,8.2,4.25,15.4
X15,0,0.7,1.05,1.2,2.05,2.2,3.05,4.2,4.05,8.2,4.25,15.4
X16,0,7.7,1.05,7.6,2.05,6.6,3.05,4.6,4.05,8.2,4.25,15.4
Y01,9.05,8.1,8.05,7.6,7.05,6.6,6.05,4.6,5.05,8.2,4.25,15
Y02,9.05,1.1,8.05,1.2,7.05,2.2,6.05,4.2,5.05,8.2,4.25,15
Y03,9.05,3.1,8.05,3.2,7.05,2.6,6.05,4.2,5.05,8.2,4.25,15
Y04,9.05,5.1,8.05,5.2,7.05,6.2,6.05,4.6,5.05,8.2,4.25,15
Y05,9.05,6.1,8.05,5.6,7.05,6.2,6.05,4.6,5.05,8.2,4.25,15
Y06,9.05,4.1,8.05,3.6,7.05,2.6,6.05,4.2,5.05,8.2,4.25,15
Y07,9.05,2.1,8.05,1.6,7.05,2.2,6.05,4.2,5.05,8.2,4.25,15
Y08,9.05,7.1,8.05,7.2,7.05,6.6,6.05,4.6,5.05,8.2,4.25,15
Y09,9.05,6.7,8.05,7.2,7.05,6.6,6.05,4.6,5.05,8.2,4.25,15
Y10,9.05,1.7,8.05,1.6,7.05,2.2,6.05,4.2,5.05,8.2,4.25,15
Y11,9.05,3.7,8.05,3.6,7.05,2.6,6.05,4.2,5.05,8.2,4.25,15
Y12,9.05,5.7,8.05,5.6,7.05,6.2,6.05,4.6,5.05,8.2,4.25,15
Y13,9.05,4.7,8.05,5.2,7.05,6.2,6.05,4.6,5.05,8.2,4.25,15
Y14,9.05,2.7,8.05,3.2,7.05,2.6,6.05,4.2,5.05,8.2,4.25,15
Y15,9.05,0.7,8.05,1.2,7.05,2.2,6.05,4.2,5.05,8.2,4.25,15
Y16,9.05,7.7,8.05,7.6,7.05,6.6,6.05,4.6,5.05,8.2,4.25,15
Z01,9.05,16.1,8.05,15.6,7.05,14.6,6.05,12.6,5.05,8.6,4.25,15
Z02,9.05,9.1,8.05,9.2,7.05,10.2,6.05,12.2,5.05,8.6,4.25,15
Z03,9.05,11.1,8.05,11.2,7.05,10.6,6.05,12.2,5.05,8.6,4.25,15
Z04,9.05,13.1,8.05,13.2,7.05,14.2,6.05,12.6,5.05,8.6,4.25,15
Z05,9.05,14.1,8.05,13.6,7.05,14.2,6.05,12.6,5.05,8.6,4.25,15
Z06,9.05,12.1,8.05,11.6,7.05,10.6,6.05,12.2,5.05,8.6,4.25,15
Z07,9.05,10.1,8.05,9.6,7.05,10.2,6.05,12.2,5.05,8.6,4.25,15
Z08,9.05,15.1,8.05,15.2,7.05,14.6,6.05,12.6,5.05,8.6,4.25,15
Z09,9.05,14.7,8.05,15.2,7.05,14.6,6.05,12.6,5.05,8.6,4.25,15
Z10,9.05,9.7,8.05,9.6,7.05,10.2,6.05,12.2,5.05,8.6,4.25,15
Z11,9.05,11.7,8.05,11.6,7.05,10.6,6.05,12.2,5.05,8.6,4.25,15
Z12,9.05,13.7,8.05,13.6,7.05,14.2,6.05,12.6,5.05,8.6,4.25,15
Z13,9.05,12.7,8.05,13.2,7.05,14.2,6.05,12.6,5.05,8.6,4.25,15
Z14,9.05,10.7,8.05,11.2,7.05,10.6,6.05,12.2,5.05,8.6,4.25,15
Z15,9.05,8.7,8.05,9.2,7.05,10.2,6.05,12.2,5.05,8.6,4.25,15
Z16,9.05,15.7,8.05,15.6,7.05,14.6,6.05,12.6,5.05,8.6,4.25,15
W01,0,16.1,1.05,15.6,2.05,14.6,3.05,12.6,4.05,8.6,4.25,15.4
W02,0,9.1,1.05,9.2,2.05,10.2,3.05,12.2,4.05,8.6,4.25,15.4
W03,0,11.1,1.05,11.2,2.05,10.6,3.05,12.2,4.05,8.6,4.25,15.4
W04,0,13.1,1.05,13.2,2.05,14.2,3.05,12.6,4.05,8.6,4.25,15.4
W05,0,14.1,1.05,13.6,2.05,14.2,3.05,12.6,4.05,8.6,4.25,15.4
W06,0,12.1,1.05,11.6,2.05,10.6,3.05,12.2,4.05,8.6,4.25,15.4
W07,0,10.1,1.05,9.6,2.05,10.2,3.05,12.2,4.05,8.6,4.25,15.4
W08,0,15.1,1.05,15.2,2.05,14.6,3.05,12.6,4.05,8.6,4.25,15.4
W09,0,14.7,1.05,15.2,2.05,14.6,3.05,12.6,4.05,8.6,4.25,15.4
W10,0,9.7,1.05,9.6,2.05,10.2,3.05,12.2,4.05,8.6,4.25,15.4
W11,0,11.7,1.05,11.6,2.05,10.6,3.05,12.2,4.05,8.6,4.25,15.4
W12,0,13.7,1.05,13.6,2.05,14.2,3.05,12.6,4.05,8.6,4.25,15.4
W13,0,12.7,1.05,13.2,2.05,14.2,3.05,12.6,4.05,8.6,4.25,15.4
W14,0,10.7,1.05,11.2,2.05,10.6,3.05,12.2,4.05,8.6,4.25,15.4
W15,0,8.7,1.05,9.2,2.05,10.2,3.05,12.2,4.05,8.6,4.25,15.4
W16,0,15.7,1.05,15.6,2.05,14.6,3.05,12.6,4.05,8.6,4.25,15.4
